Pb Density=11.4
Energy(eV), Delta, Beta
 30. -0.00684871059  0.150556728
 31.7943592 -0.0165294446  0.155263215
 33.6960373 -0.0218653847  0.160244003
 35.7114601 -0.0234509818  0.165991604
 37.8474312 -0.0206842273  0.171951696
 40.1111603 -0.0147977006  0.174867004
 42.5102806 -0.0062626265  0.177512616
 45.0529022  0.00405159639  0.175461397
 47.7476006  0.0151508292  0.172004655
 50.6034737  0.0247193612  0.165407702
 53.6301651  0.0343463309  0.159065321
 56.8378868  0.043923676  0.149484649
 60.2374725  0.05248845  0.1401131
 63.8403854  0.060473863  0.127294034
 67.6587982  0.0665805191  0.113311611
 71.7056046  0.0686189756  0.0991029739
 75.9944458  0.0690537021  0.0867378637
 80.5398178  0.0698566362  0.075092487
 85.3570633  0.0682943985  0.0628646314
 90.4624252  0.0662227049  0.0523708761
 95.8731613  0.0626157597  0.0416170768
 101.607513  0.0581149533  0.0324682593
 107.684845  0.052846022  0.0248681065
 114.125687  0.0470546335  0.0177025683
 120.951752  0.0403456762  0.0131195001
 128.186096  0.0345464759  0.00995518826
 135.853149  0.0296605714  0.00812748168
 143.97879  0.025741227  0.00661699101
 152.590439  0.0221898798  0.0051007974
 161.717163  0.018873645  0.00406335155
 171.389786  0.0158729982  0.00336406985
 181.64093  0.0132201221  0.00295563834
 192.505203  0.0109585524  0.00276578497
 204.019302  0.00893274415  0.00275868387
 216.222076  0.00725016138  0.00298621668
 229.154739  0.00590317091  0.00329394289
 242.860901  0.00489556929  0.00367874932
 257.386902  0.00423353119  0.00396028534
 272.781677  0.00368611678  0.0041753496
 289.09726  0.00329533266  0.00435232045
 306.388733  0.00311542768  0.00451321853
 324.714417  0.00299837766  0.00444691349
 344.1362  0.00289076683  0.00437896745
 364.719635  0.00286230654  0.00429487042
 386.53421  0.00290636555  0.00404835492
 409.653564  0.00288083032  0.00375698367
 434.155701  0.00279850094  0.0034527001
 460.123383  0.00270460523  0.00318149058
 487.644257  0.00264540198  0.00290769408
 516.811157  0.00254187081  0.00260201003
 547.722595  0.0024170375  0.00232328568
 580.482971  0.00227749464  0.00206884276
 615.202759  0.00213468098  0.00184030388
 651.999146  0.00198829244  0.00163654634
 690.99646  0.00184987974  0.00146392779
 732.326233  0.00172719243  0.00130982802
 776.128052  0.00161554664  0.0011604738
 822.549744  0.00150666118  0.00101930252
 871.748047  0.00139402761  0.000892899872
 923.888916  0.00129742711  0.00078899035
 979.148499  0.00120841071  0.000673855655
 1037.71313  0.00111267797  0.000569912023
 1099.78076  0.00101498771  0.000478788104
 1165.56067  0.00092023646  0.000402117206
 1235.27515  0.00083081983  0.000337660924
 1309.15918  0.000747574144  0.000283685076
 1387.46252  0.000670984562  0.000238352877
 1470.44946  0.000601016742  0.000200187118
 1558.39966  0.000537077955  0.000167264341
 1651.61047  0.000478042173  0.000139529613
 1750.39648  0.000424104539  0.000116308642
 1855.09106  0.000374488736  9.66378502E-05
 1966.04761  0.000328663155  8.0275764E-05
 2083.64038  0.000285975082  6.66484848E-05
 2208.26709  0.000244787952  5.51739904E-05
 2340.34766  0.000201448216  4.56061389E-05
 2480.32837  4.23084493E-05  3.763731E-05
 2628.6814  0.000149758445  0.000119960838
 2785.90771  0.000164037527  9.82221172E-05
 2952.53809  0.000156015274  8.04541924E-05
 3129.13525  0.000145089958  7.63926291E-05
 3316.29443  0.000138034811  6.25106113E-05
 3514.64868  0.000125391423  5.11652106E-05
 3724.86621  0.000116267031  4.44805155E-05
 3947.65771  0.000106273706  3.80752172E-05
 4183.77441  9.70660622E-05  3.12120646E-05
 4434.01367  8.78782885E-05  2.55567393E-05
 4699.2207  7.9191057E-05  2.09041118E-05
 4980.28955  7.1134833E-05  1.70831754E-05
 5278.17041  6.37405174E-05  1.39492622E-05
 5593.86816  5.70065458E-05  1.1382579E-05
 5928.44775  5.09066631E-05  9.2826358E-06
 6283.03955  4.54021683E-05  7.56614372E-06
 6658.83984  4.04515813E-05  6.16428179E-06
 7057.11768  3.60091726E-05  5.02020748E-06
 7479.21729  3.20302497E-05  4.08708001E-06
 7926.56348  2.84718371E-05  3.32642639E-06
 8400.66602  2.52920963E-05  2.70655687E-06
 8903.12598  2.24529049E-05  2.20161746E-06
 9435.6377  1.99183105E-05  1.79047879E-06
 10000.002  1.76559042E-05  1.45468721E-06
